"","Author","Year","Study","Project.Name","Type.of.Study","Duration.of.follow.up","Country.of.collection","Date.of.collection","Sample.Size_included..N..","N_PT","N_HC","Age_Total_mean","Age_Total_sd","Age_PT_mean","Age_PT_sd","Age_HC_mean","Age_HC_sd","Onset_Age_mean","Onset_Age_sd","N_Total_Male","N_Total_Female","N_PT_Male","N_PT_.Female","N_HC_Male","N_HC_.Female","Psychosis.Measure","Psychosis.Construct","Dimensional..Diagnostic.Outcome","Trauma.Measure","Trauma.Construct","with.total.trauma.info..Y.N.","HC.Status.Measure","LogOR","LogOR_LCI","LogOR_UCI","only_subgroup_analysis","Design","CT.VS.NO.CT","adjusted.age..Y.N.","adjusted.gender..Y.N.","QA_scores","QA_Rating","compution_effect_size","Country_level","sum_gender","Age_level","Male_ratio","Q_or_Int","Adj","vi","Trauma"
"386","Liang et al.","2014","Correlation between childhood trauma experience and eye emotion recognition in schizophrenia",NA,"Case-control",NA,"China","2012-2014",120,"60",60,NA,NA,"32.6","12.3","31.4","11.3",NA,NA,70,50,34,26,36,24,"CCMD-3","SCZ","Diagnostic","Adapted CTQ-25","CT, EA, SA, PA, PN, EN","Y","No diagnosis of mental disorders",2.06377577567504,1.36416609703071,2.76338545431938,"N","Case-control",NA,"N","N",8,"Good","Mean_SD",2,"120",1,"0.583333333",1,"Unadjusted",0.127408814674312,"PN"
"387","Ma et al.","2014","The relationship between anhedonia and childhood trauma in schizophrenic patients",NA,"Case-control",NA,"China","2012-2013",469,"198",271,NA,NA,"31.5","9.61","31.82","10.14",NA,NA,230,239,101,97,129,142,"CCMD-3","SCZ","Diagnostic","CTQ-28","CT, EA, SA, PA, PN, EN","Y","No diagnosis of mental disorders",0.830196290512123,0.493612224837788,1.16678035618646,"N","Case-control",NA,"N","N",8,"Good","Mean_SD",2,"469",1,"0.490405117",1,"Unadjusted",0.0294900128243089,"PN"
"388","Michail & Birchwood","2014","Social anxiety in first-episode psychosis: The role of childhood trauma and adult attachment",NA,"Case-control",NA,"UK",NA,104,"80",24,NA,NA,"24.1","4.657","24.2","5",NA,NA,64,40,53,27,11,13,"ICD-10","FEP","Diagnostic","CTQ","EA, EN, PA, PN, SA","N","No psychiatric disorders",0.731146561213099,-0.102190638353627,1.56448376077982,"N","Case-control",NA,"N","N",8,"Good","Mean_SD",1,"104",1,"0.615384615",1,"Unadjusted",0.180771264103945,"PN"
"389","Yang et al.","2014","Correlation study among childhood traumaㄛdysfunctional attitude and alexithymia of schizophrenics patients and their first坼degree relatives.",NA,"Case-control",NA,"China","2013",100,"52",48,NA,NA,"33.81","8.66","32.75","10.07",NA,NA,52,48,28,24,24,24,"CCMD-3","SCZ","Diagnostic","CTQ-28","CT, EA, SA, PA, PN, EN","Y","No diagnosis of mental disorders",1.71396269676928,0.96378193363565,2.46414345990292,"N","Case-control",NA,"N","N",8,"Good","Mean_SD",2,"100",1,"0.52",1,"Unadjusted",0.146493954960371,"PN"
"390","Zhang et al.","2014","Study about the relationship between childhood trauma experience and theory of mind capacity in patients with schizophreniaㄝ",NA,"Case-control",NA,"China","2012-2013",110,"56",54,NA,NA,"27.87","5.27","26.63","4.09",NA,NA,55,55,29,27,26,28,"ICD-10","SCZ","Diagnostic","CTQ-28","CT, EA, SA, PA, PN, EN","Y","No diagnosis of mental disorders",1.15994809143751,0.464805566738345,1.85509061613667,"N","Case-control",NA,"N","N",8,"Good","Mean_SD",2,"110",1,"0.5",1,"Unadjusted",0.125786945451146,"PN"
"391","Cancel et al.","2015","Childhood neglect predicts disorganizationin schizophrenia through grey matterdecrease in dorsolateral prefrontal cortex",NA,"Case-control",NA,"France",NA,51,"21",30,"32.57",7.67,"32.1","8.3","32.9","7.2",NA,NA,35,16,15,6,20,10,"DSM-IV","SCZ","Diagnostic","CTQ","CT, EA, SA, PA, PN, EN","Y","No SCZ diagnosis",1.56565273657821,0.509515138991873,2.62179033416454,"N","Case-control",NA,"N","N",6,"Fair","Mean_SD",1,"51",1,"0.68627451",1,"Unadjusted",0.290354702476945,"PN"
"392","Aydin et al.","2016","The developmental origins of metacognitive deficits in schizophrenia",NA,"Case-control",NA,"Turkey",NA,70,"35",35,NA,NA,"29.91","7.35","31.05","7.86",NA,NA,36,34,22,13,14,21,"SCID, DSM-IV","SCZ","Diagnostic","CTQ","CT, EA, SA, PA, PN, EN","Y","did not have a psychiatric diagnosis",0.954734922010075,0.0903253386564016,1.81914450536375,"N","Case-control",NA,"N","N",5,"Fair","Mean_SD",2,"70",1,"0.514285714",1,"Unadjusted",0.194503313149123,"PN"
"393","Chen et al.","2016","Study on relationship between childhood trauma experience and empathy in patients with schizophrenia",NA,"Case-control",NA,"China","2014-2015",194,"98",96,NA,NA,"29.34","9.56","27.84","7.47",NA,NA,86,108,45,53,41,55,"ICD-10","SCZ","Diagnostic","CTQ-28","CT, EA, SA, PA, PN, EN","Y","No diagnosis of mental disorders",0.568864421921299,0.0552337885165799,1.08249505532602,"N","Case-control",NA,"N","N",8,"Good","Mean_SD",2,"194",1,"0.443298969",1,"Unadjusted",0.0686735806881852,"PN"
"394","Wickham & Bentall","2016","Are Specific Early-Life Adversities Associated With Specific Symptoms of Psychosis?: A Patient Study Considering Just World Beliefs as a Mediator",NA,"Case-control",NA,"UK",NA,144,"72",72,NA,NA,"43.46","11.17","39.94","12.07",NA,NA,77,67,46,26,31,41,"Diagnozed","PS, SIP, SAD, SCZ, UNP","Diagnostic","CTQ","EA, PA, SA, EN, PN, BUL","N","no lifetime diagnosis of schizophrenia spectrum disorder, some controls with history of mental health disorder",1.11473585554032,0.508401898172244,1.7210698129084,"N","Case-control",NA,"Y","Y",7,"Good","Mean_SD",1,"144",1,"0.534722222",1,"Unadjusted",0.0956999343652738,"PN"
"395","Li et al.","2017","A related study of cognitiv eimpairment and childhood trauma in children and adolescents with first-episode schizophreniaㄝ",NA,"Case-control",NA,"China","2014-2016",60,"37",23,NA,NA,"15.35","1.53","15.22","1.83",NA,NA,27,33,18,19,9,14,"ICD-10","FEP","Diagnostic","CTQ-SF-28","CT, EA, SA, PA, PN, EN","Y","No diagnosis of mental disorders",0.964892340475717,0.00526950128906106,1.92451517966237,"N","Case-control",NA,"N","N",7,"Good","Mean_SD",2,"60",2,"0.45",1,"Unadjusted",0.239711576813999,"PN"
"396","Shovestul et al.","2017","Pilot Study Examining the Relationship of Childhood Trauma, Perceived Stress, and Medication Use to Serum Kynurenic Acid and Kynurenine Levels in Schizophrenia",NA,"Case-control",NA,"USA","2017",20,"10",10,"38.15",13.55,"40.9","14.7","35.4","12.3",NA,NA,10,10,5,5,5,5,"DSM-IV-TR","SCZ, SAD","Diagnostic","CTQ","PA, EA, EN, SA, PN","N","no psychiatric history",1.49259145016175,-0.163196037534772,3.14837893785827,"N","Case-control",NA,"N","N",7,"Fair","Mean_SD",1,"20",1,"0.5",1,"Unadjusted",0.713669357666689,"PN"
"397","Haarmans et al.","2018","Gender role strain, core schemas, and psychotic experiences in ethnically diverse women: A role for sex坼 and gender坼based analysis in psychosis research?",NA,"Case-control",NA,"Canada",NA,91,"43",48,NA,NA,"42.14","13.38","33.9","12.83",NA,NA,0,91,0,43,0,48,"DSM坼IV","PEs","Diagnostic","CTQ","CT, PA, EA, EN, SA, PN","Y","no current or past hallucinations or psychotic disorder diagnosis",2.12018568362915,1.31266018375199,2.9277111835063,"N","Case-control",NA,"N","N",7,"Good","Mean_SD",1,"91",1,"0",1,"Unadjusted",0.169746312201127,"PN"
"398","Lee et al.","2018","Childhood Adversity and Schizophrenia: The Protective Role of Resilience in Mental and Physical Health, and Metabolic Markers",NA,"Case-control",NA,"USA","2012-2017",215,"114",101,NA,NA,"48.3","10.1","49.4","11.3",NA,NA,111,104,64,50,47,54,"SCID, DSM-IV-TR","SCZ, SAD","Diagnostic","CTQ","CT, EA, EN, PA, PN, SA","Y","No history of axis 1 disorders or other psychiatric comorbidities",1.28952262247349,0.788672318700974,1.790372926246,"N","Case-control",NA,"N","N",8,"Good","Mean_SD",1,"215",1,"0.51627907",1,"Unadjusted",0.0652985804844389,"PN"
"399","Li et al.","2018","Impact of childhood trauma on sensory gating in patients with first-episode schizophrenia",NA,"Case-control",NA,"China",NA,105,"56",49,NA,NA,"25.9","6.8","26.21","3.9",NA,NA,47,58,22,34,25,24,"DSM-IV, PANSS","FES","Diagnostic","CTQ-SF","CT, PA, EA, EN, SA, PN","Y","without severe mental disorders or current substance use",0.655147941182224,-0.0458958938873327,1.35619177625178,"N","Case-control",NA,"N","N",7,"Good","Mean_SD",2,"105",1,"0.447619048",1,"Unadjusted",0.127931710404267,"PN"
"400","Molina et al.","2018","Early neglect associated to prefrontal structural disconnectivity in schizophrenia",NA,"Case-control",NA,"Spain",NA,40,"26",14,"34.65",9.83,"35.25","9.12","33.53","11.08",NA,NA,22,17,13,13,9,4,"Clin","SCZ","Diagnostic","CTQ","EA, PA, SA, EN, PN","N","NR",1.59388498249777,0.364729246407988,2.82304071858755,"N","Case-control",NA,"N","N",5,"Fair","Mean_SD",1,"39",1,"0.564102564",1,"Unadjusted",0.393279837453773,"PN"
"401","Akbey et al.","2019","Is There Any Association Between Childhood Traumatic Experiences, Dissociation and Psychotic Symptoms in Schziophrenic Patients?",NA,"Case-control",NA,"Turkey",NA,150,"100",50,NA,NA,"38.7","10.5","35.3","10.4","24.4",8.9,97,53,69,31,28,22,"DSM-IV, SCID","SCZ","Diagnostic","CTQ-28","CT, EA, SA, PA, PN, EN","Y","healthy siblings",0.452978756377181,-0.164903308312622,1.07086082106698,"N","Case-control",NA,"N","N",8,"Good","Mean_SD",2,"150",1,"0.646666667",1,"Unadjusted",0.0993800098566569,"PN"
"402","Ding et al.","2019","Correlation study on childhood traumatic experience and psychiatric symptoms in patients with schizophrenia",NA,"Case-control",NA,"China","2017-2018",297,"177",120,NA,NA,"32.93","6.55","33.13","6.16",NA,NA,208,89,126,51,82,38,"ICD-10","SCZ","Diagnostic","CTQ-28","CT, EA, SA, PA, PN, EN","Y","No diagnosis of mental disorders",0.81315161752063,0.387711727165437,1.23859150787582,"N","Case-control",NA,"N","N",8,"Good","Mean_SD",2,"297",1,"0.7003367",1,"Unadjusted",0.0471155508916697,"PN"
"403","Huang et al.","2019","Individuals at high risk for psychosis experience more childhood trauma, life events and social support deficit in comparison to healthy controls",NA,"Case-control",NA,"China","2019",117,"56",61,NA,NA,"26.5","8.5","31.3","7.9",NA,NA,69,48,37,19,32,29,"ICD-10, MINI","FEP","Diagnostic","CTQ-SF","CT, PA, EA, EN, SA, PN","Y","no diagnosis or history of psychiatric disorders",0.187634416989747,-0.47073412152684,0.846002955506335,"N","Case-control",NA,"N","N",9,"Good","Mean_SD",2,"117",1,"0.58974359",1,"Unadjusted",0.112830365605078,"PN"
"404","Kim et al.","2019","Neurophysiological and psychological predictors of social functioning in patients with schizophrenia and bipolar disorder",NA,"Case-control",NA,"South Korea",NA,52,"27",25,"42.48",12.22,"42.48","11.86","42.48","12.6","31.22",10.8,22,30,11,16,11,14,"SCID, DSM-IV","SCZ","Diagnostic","CTQ","EA, SA, PA, EN, PN","N","No history of psychosis or other psychiatric disrders (except bipolarity which is the other control group)",0.450060774743335,-0.540445998513829,1.4405675480005,"N","Case-control",NA,"N","N",7,"Good","Mean_SD",1,"52",1,"0.423076923",1,"Unadjusted",0.255389334617951,"PN"
"405","Speck et al.","2019","Endogenous oxytocin response to film scenes ofattachment and loss is pronounced in schizophrenia",NA,"Case-control",NA,"Germany",NA,70,"35",35,"38.2",9.63,"40.4","8.8","36","10.4","27.7",8.9,46,24,23,12,23,12,"DSM-IV","SCZ","Diagnostic","CTQ-SF","EA, SA, PA, EN, PN","N","No history of axis I disorders or family with psychosis",1.03672055004318,0.169723389402865,1.90371771068349,"N","Case-control",NA,"N","N",6,"Fair","Mean_SD",1,"70",1,"0.657142857",1,"Unadjusted",0.19566953263181,"PN"
"406","Popovic et al.","2020","Traces of Trauma: A Multivariate Pattern Analysis of Childhood Trauma, Brain Structure, and Clinical Phenotypes","PRONIA study cohort","Case-control",NA,"Multiple countries","2014-2016",396,"132",264,NA,NA,"28.73","5.63","28.5","6.45",NA,NA,182,214,82,50,100,164,"DSM-IV-TR","ROP","Diagnostic","CTQ-28","CT, PA, EA, EN, SA, PN","Y","no diagnosis",1.83337772313144,1.43347576778238,2.2332796784805,"N","Case-control",NA,"N","N",6,"Fair","Mean_SD",1,"396",1,"0.45959596",1,"Unadjusted",0.0416288978269478,"PN"
"407","Struck et al.","2020","Childhood maltreatment and adult mental disorders - the prevalence of different types of maltreatment and associations with age of onset and severity of symptoms","FOR 2017","Case-control",NA,"Germany","2017",822,"107",715,NA,NA,"39.05","11.55","32.73","12.59","22.41",8.15,321,501,49,58,272,443,"DSM-IV","SCZ, SAD","Diagnostic","CTQ","CT, EA, SA, PA, EN, PN","Y","no current or former psychotic disorder assessed by SCID-I",2.19981542796702,1.81627998420579,2.58335087172825,"N","Case-control",NA,"N","N",7,"Good","Mean_SD",1,"822",1,"0.390510949",1,"Unadjusted",0.0382911902907964,"PN"
"408","Dauvermann et al.","2021","Changes in Default-Mode Network Associated With Childhood Trauma in Schizophrenia",NA,"Case-control",NA,"Ireland",NA,173,"57",116,"41.29",11.35,"43.61","11.51","40.15","11.27",NA,NA,111,62,39,18,72,44,"DSM-IV","SAD, SCZ","Diagnostic","CTQ","CT, PA, EA, EN, SA, PN","Y","no documented lifetime personal history of axis I mental health disorder or substance use disorder in the last 6 months, or a first-degree relative with a psychotic disorder, or substance abuse in the last 6 months (based on self-report)",0.919372227101399,0.33622422568993,1.50252022851287,"N","Case-control",NA,"N","N",7,"Good","Mean_SD",1,"173",1,"0.641618497",1,"Unadjusted",0.0885208224568385,"PN"
"409","King et al.","2021","Early life Adversity, functional connectivity and cognitive performance in Schizophrenia: The mediating role of IL-6","iRelate","Case-control",NA,"Ireland","2015-2019",311,"104",207,NA,NA,"42","10.95","36","12.38",NA,NA,212,99,73,31,139,68,"DSM-IV","SCZ, SAD","Diagnostic","CTQ","CT, EA, PA, EN, SA, PN,","Y","No history of psychiatric illness, drug abuse or general health problems, no first-degree relatives with
schizophrenia spectrum disordersdrugs",0.711660125334737,0.280724473167369,1.1425957775021,"N","Case-control",NA,"N","N",5,"Fair","Mean_SD",1,"311",1,"0.681672026",1,"Unadjusted",0.0483406747992802,"PN"
"410","Li et al.","2021","Relationship between dream threat level ,life events and childhood truma in schizophrenia patients",NA,"Case-control",NA,"China","2017-2019",138,"68",70,NA,NA,"28.71","7.57","29.2","7.77",NA,NA,69,69,30,38,39,31,"NR","SCZ","Diagnostic","CTQ-28","CT, EA, SA, PA, PN, EN","Y","No diagnosis of mental disorders",0.52545393069057,-0.0830271108931285,1.13393497227427,"N","Case-control",NA,"N","N",8,"Good","Mean_SD",2,"138",1,"0.5",1,"Unadjusted",0.0963788988876466,"PN"
"411","Cay et al.","2022","Test-retest reliability of the Childhood Trauma Questionnaire in psychotic disorders","Schizophrenia and Bipolar Disorder Program at McLean Hospital in Belmont, Massachusetts","Case-control",NA,"USA","2014-2022",47,"19",28,NA,NA,"26.4","7.1","24.4","6.1",NA,NA,21,26,11,8,10,18,"SCID-IV, SCID-5","SCZ","Diagnostic","CTQ","CT, EA, EN, PA, PN, SA","Y",NA,0.905172701150147,-0.1672224563949,1.97756785869519,"N","Case-control",NA,"N","N",5,"Fair","Mean_SD",1,"47",1,"0.446808511",1,"Unadjusted",0.299362602542187,"PN"
"412","Fan et al.","2022","Subcortical structures associated with childhood trauma and perceived stress in schizophrenia",NA,"Case-control",NA,"China",NA,210,"127",83,NA,NA,"40.82","13.09","38.59","12.23","25.05",7.83,117,93,73,54,44,39,"DSM-IV, SCID","SCZ","Diagnostic","CTQ","CT, EA, PA, SA, EN, PN","Y","no family history of psychotic illness; not diagnozed with shizophrenia",0.983346605269007,0.472828682792292,1.49386452774572,"N","Case-control",NA,"N","N",7,"Good","Mean_SD",2,"210",1,"0.557142857",1,"Unadjusted",0.0678437497839287,"PN"
"413","Millman et al.","2022","Auditory hallucinations, childhood sexual abuse, and limbic gray matter volume in a transdiagnostic sample of people with psychosis",NA,"Case-control",NA,"USA",NA,111,"76",35,"33.16",7.5,"31.8","7.27","32.43","7.98",NA,NA,58,57,41,37,17,20,"DSM-IV-TR, SCID","Psychosis","Diagnostic","CTQ","SA, PA, EA, EN, PN","N","no current Axis I psychiatric disorder, no history of psychosis, and no first degree relatives with psychotic disorders",1.4623157005391,0.711054435765637,2.21357696531257,"N","Case-control",NA,"N","N",7,"Good","Mean_SD",1,"115",1,"0.504347826",1,"Unadjusted",0.146916255713511,"PN"
"414","Uyan et al.","2022","Relationships between childhood trauma and dissociative, psychotic symptoms in patients with schizophrenia: a case每control study",NA,"Case-control",NA,"Turkey","2016-2017",200,"100",100,"41.49",15.14,"42.38","15.38","40.6","14.9",NA,NA,84,116,49,51,35,65,"DSM-V","SCZ","Diagnostic","CTQ","CT, PA, EA, EN, SA, PN","Y",NA,0.948983624889434,0.43769483959994,1.46027241017893,"N","Case-control",NA,"N","N",8,"Good","Mean_SD",2,"200",1,"0.42",1,"Unadjusted",0.0680487874746998,"PN"
"415","Wang et al.","2022","The mediating effect of brain-derived neurotrophic factor levels on childhood trauma and psychiatric symptoms in patients with first-episode schizophrenia.",NA,"Case-control",NA,"China",NA,328,"192",136,NA,NA,"27.2","7.3","28.6","5.6","26.1",7.3,171,157,96,96,75,61,"DSM-IV","FEP","Diagnostic","CTQ","CT, EA, EN, PA, PN, SA","Y","no diagnosis of schizophrenia",2.6095815602648,2.16389847897997,3.05526464154963,"N","Case-control",NA,"N","N",6,"Fair","Mean_SD",2,"328",1,"0.521341463",1,"Unadjusted",0.0517059061181646,"PN"
"416","R<U+00F6>ssler et al.","2016","Childhood trauma as a risk factor for the onset of subclinical psychotic experiences: Exploring the mediating effect of stress sensitivity in a cross-sectional epidemiological community study","Zurich Programme for Sustainable Development of Mental Health Services","Cross-sectional",NA,"Switzerland",NA,663,"260",403,"31.52",6.77,"31.13","6.74","31.78","6.78",NA,NA,314,349,121,139,193,210,"SIAPA, SPQ-B, PARA, SCL-90-R, CEQ to assess indicators for subclinical psychotic experiences","subclinical psychotic experiences","Dimensional","CTQ-SF","CT, EA, EN, PA, PN, SA","Y","no subclinical psychotic experience",0.719247209608105,0.433820352274876,1.00467406694133,"N","Cross-sectional",NA,"N","N",7,"Good","Mean_SD",1,"663",1,"0.473604827",NA,"Unadjusted",0.0212069166199302,"PN"
"417","Ered & Ellman","2019","Specificity of Childhood Trauma Type and Attenuated Positive Symptoms in a Non-Clinical Sample",NA,"Cross-sectional",NA,"USA",NA,130,"99",31,"19.68",1.9,"19.74","2.09","19.48","1.12",NA,NA,26,104,21,78,5,26,"Prodomal Questionnaire (PQ)","PLE","Dimensional","CTQ","CT, EA, EN, PA, PN, SA","Y","Score under 8 on the prodomal questionnaire (classsified as Low PLE)",0.921911968736913,0.181704535120665,1.66211940235316,"N","Cross-sectional",NA,"N","N",8,"Good","Mean_SD",1,"130",1,"0.2",NA,"Unadjusted",0.142624699286952,"PN"
"418","Lindgren et al.","2017","Childhood adversities and clinical symptomatology in first-episode psychosis","Helsinki Psychosis Study","Case-control",NA,"Finland","2010-2016",126,"75",51,"26.6",5.842,"26.4","6","26.9","5.6",NA,NA,83,43,49,26,34,17,"DSM-IV, BPRS 4.0","FEP","Diagnostic","Self-DQ","CT, BUL, PD","Y","Psychotic disorders were an exclusion criterion, as were any conditions preventing MRI, and chronic neurological or endocrinological diseases.",0.924258901523332,0.113328685307003,1.7281094421516,"N","Case-control",NA,"N","N",6,"Fair","OR",1,"126",1,"0.658730159",3,"Unadjusted",0.169689510404233,"BL"
"419","LoPilato et al.","2019","Impact of childhood adversity on corticolimbic volumes in youth at clinical high-risk psychosis clinical high-risk for psychosis","NAPLS-2","Case-control",NA,"USA","2009 - 2011",702,"486",216,NA,NA,"18.85","4.2","20.07","4.6",NA,NA,401,301,289,197,112,104,"SIPS high risk status for psychotic symptoms","PEs","Dimensional","Documentation of Trauma Form, a semi-structured interview","CT, PA, EA, EN, SA, BUL, PS","Y","no risk and no psychotic symptoms after screening",2.006870848845,1.6467336971778,2.36837283353205,"N","Case-control",NA,"N","N",6,"Fair","OR",1,"702",1,"0.571225071",2,"Unadjusted",0.0338897232349874,"BL"
"420","De Loore et al.","2007","Childhood negative experiences and subclinical psychosis in adolescence: A longitudinal general population study","YHCD","Cohort study","2 years","The Netherlands",NA,1129,NA,NA,"15.1",0.78,NA,NA,NA,NA,NA,NA,526,603,NA,NA,NA,NA,"DSM-III, DISC-C","SPE","Dimensional","Self-INT","CT, BUL, SA","Y","low SPE",0.727548607277278,0.104360015324243,1.35583515363518,"N","Cohort study",NA,"Y","Y",11,"Good","OR",1,"1129",2,"0.465899026",2,"Unadjusted",0.101923028283162,"BL"
"421","Schreier et al.","2009","Prospective Study of Peer Victimization in Childhood and Psychotic Symptoms in a Nonclinical Population at Age 12 Years","ALSPAC","Cohort study","5 years","UK",NA,6437,"363",6074,"12.9",NA,NA,NA,NA,NA,NA,NA,3173,3264,NA,NA,NA,NA,"PLIKSi","PLE","Dimensional","BFIS","BUL","N","no PLE according to PLIKSi",0.662687973075237,0.431782416425538,0.89199803930511,"Y","Cohort study",NA,"Y","Y",12,"Good","OR",1,"6437",2,"0.49293149",1,"Unadjusted",0.013783216598711,"BL"
"422","Arseneault et al.","2011","Childhood trauma and children's emerging psychotic symptoms: A genetically sensitive longitudinal cohort study","E-RISK","Cohort study","5 years","UK",NA,2127,"125",2002,"12",NA,NA,NA,NA,NA,NA,NA,1034,1093,71,54,963,1039,"Own interview","Hallucinations, Delusions","Dimensional","BFIS","CT, AB, BUL","Y","no psychotic symptoms",1.63315443905142,1.23837423104327,2.0294631718736,"N","Cohort study",NA,"N","N",10,"Good","OR",1,"2127",2,"0.486130701",1,"Unadjusted",0.040726631631615,"BL"
"423","Boden et al.","2016","Bullying victimization in adolescence and psychotic symptomatology in adulthood: evidence from a 35-year study","CHDS","Cohort study","19 years","New Zealand","1977-2001",1018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,508,510,NA,NA,NA,NA,"SCL-90","Hallucinations and Delusions; PI, and Related Symptoms","Dimensional","Self-DQ","BUL","N",NA,0.500775287912489,0.246860077931526,0.751416088683921,"Y","Cohort study",NA,"N","N",12,"Good","OR",1,"1018",2,"0.499017682",3,"Unadjusted",0.0165671053718744,"BL"
"424","Liu et al.","2021","Testing the neurodevelopmental, trauma anddevelopmental risk factor models of psychosisusing a naturalistic experiment","Bavarian Longitudinal Study","Cohort study","20 years","Germany","1985-2013",399,"202",197,NA,NA,NA,NA,NA,NA,NA,NA,201,198,107,95,94,103,"SCAN","PEs","Dimensional","BFIS","BUL","N","born after full term",0.285178942233663,0.048790164169432,0.512823626428664,"N","Cohort study",NA,"N","Y",11,"Good","OR",1,"399",2,"0.503759398",1,"Unadjusted",0.0140128497303396,"BL"
"425","Liu et al.","2021","Testing the neurodevelopmental, trauma anddevelopmental risk factor models of psychosisusing a naturalistic experiment","EPICure","Cohort study","13 years","UK, Ireland","1995-2014",184,"120",64,NA,NA,NA,NA,NA,NA,NA,NA,78,106,53,67,25,39,"SCAN","PEs","Dimensional","BFIS","BUL","N","born after full term",0.593326845277734,0.19062035960865,0.99694863489161,"N","Cohort study",NA,"N","Y",11,"Good","OR",1,"184",2,"0.423913043",1,"Unadjusted",0.0423108397230837,"BL"
"426","Nishida et al.","2008","Associations between psychotic-like experiences and mental health status and other psychopathologies among Japanese early teens","ESPAT","Cross-sectional",NA,"Japan",NA,4894,NA,NA,"13.3",0.9,NA,NA,NA,NA,NA,NA,2523,2371,NA,NA,NA,NA,"DISC-C","PLE","Dimensional","Self report","PA, BUL","N","without PLE",0.887891257352457,0.73716406597672,1.03318448334565,"N","Cross-sectional",NA,"N","Y",8,"Good","OR",1,"4894",2,"0.515529219",3,"Unadjusted",0.0057025775392596,"BL"
"427","Oshima et al.","2010","Psychotic-like experiences (PLEs) and mental health status in twin and singleton Japanese high school students",NA,"Cross-sectional",NA,"Japan",NA,341,NA,NA,"before 18y",NA,NA,NA,NA,NA,NA,NA,173,168,NA,NA,NA,NA,"DISC-C","PLE","Dimensional","Self report","PA, BUL","N","lower PLE",0.905027539595444,0.00598207167754747,1.8035233361483,"N","Cross-sectional",NA,"N","N",7,"Good","OR",1,"341",2,"0.507331378",3,"Unadjusted",0.21027401326759,"BL"
"428","Bentall et al.","2012","Do Specific Early-Life Adversities Lead to Specific Symptoms of Psychosis? A Study from the 2007 The Adult Psychiatric Morbidity Survey","APMS 2007","Cross-sectional",NA,"UK","2006-2007",7240,NA,NA,"16+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Psychosis Screening Questionnaire","Paranoia","Dimensional","Selection of items from the domestic violence and abuse survey","BUL","N",NA,0.378436435720245,-0.210721031315653,0.966983846189673,"Y","Cross-sectional",NA,"Y","Y",9,"Good","OR",1,"#VALUE!",1,NA,1,"Unadjusted",0.090261139792003,"BL"
"429","Gromann et al.","2013","Self-perception but not peer reputation of bullying victimization is associated with non-clinical psychotic experiences in adolescents",NA,"Cross-sectional",NA,"The Netherlands",NA,724,NA,NA,"11.9",0.76,NA,NA,NA,NA,NA,NA,374,350,NA,NA,NA,NA,"four questions from Diagnostic Interview Schedule forChildren (DISC-C)","PE","Dimensional","OBQ","BUL","N","CT VS. NO CT",1.08856195281461,0.657520002916794,1.51951320490611,"N","Cross-sectional","CT VS NO CT","N","N",8,"Good","Mean_SD",1,"724",2,"0.516574586",NA,"Unadjusted",0.0483543497680523,"BL"
"430","Hielscher et al.","2018","Prevalence and correlates of psychotic experiences in a nationally representative sample of Australian adolescents","YMM","Cross-sectional",NA,"Australia","2013-2014",1998,"269",1729,NA,NA,"15.39","1.31","15.53","1.66",NA,NA,1027,971,114,155,913,816,"DSM-IV","AH","Diagnostic","NR","BUL","N","no auditory hallucinatory experiences",0.928219302739429,0.641853886172395,1.21787570949493,"N","Cross-sectional",NA,"Y","Y",8,"Good","OR",1,"1998",2,"0.514014014",NA,"Unadjusted",0.0215926398469267,"BL"
"431","Lee et al.","2019","Negative Life Events and Problematic Internet Use as Factors Associated With Psychotic-Like Experiences in Adolescents",NA,"Cross-sectional",NA,"South Korea","2016",1677,"173",1504,"18.6",0.5,NA,NA,NA,NA,NA,NA,1078,600,NA,NA,NA,NA,"PQ-16","PLE","Dimensional","Traumatic Events每Child (LITE-C)","SA, BUL","N",NA,1.56234630490025,1.27256559579155,1.8531680973567,"N","Cross-sectional","CT VS NO CT","N","N",7,"Good","Mean_SD",1,"1678",1,"0.642431466",NA,"Unadjusted",0.0219374261260744,"BL"
"432","Liu et al.","2021","The association between sibling bullying and psychotic-like experiences among children age 11每16 years in China",NA,"Cross-sectional",NA,"China",NA,3231,NA,NA,"12.92",1.01,NA,NA,NA,NA,NA,NA,1589,1642,NA,NA,NA,NA,"Community assessment psychic experiences-Positive symptoms (CAPE- positive)","PLEs","Dimensional","OBQ","BUL","N","without mental illness",1.25047463797736,0.789366038300488,1.71127221831537,"N","Cross-sectional",NA,"Y","Y",8,"Good","OR",2,"3231",2,"0.491798205",NA,"Unadjusted",0.0553097019958889,"BL"
